公众号,标题,链接,日期
"恒健知行","病种波士顿矩阵图","https://mp.weixin.qq.com/s/5HHkTVdsGMY2rs--bCVskQ","2026-03-08"
"恒健知行","康复科精细化病种运营管理分析报告","https://mp.weixin.qq.com/s/SyEE1jWzqgTmSAqTrosRXQ","2026-03-06"
"恒健知行","windows环境直接运行医院手术分析仪表盘","https://mp.weixin.qq.com/s/qTByChnTyKSOwKRk-BSu8Q","2026-03-05"
"恒健知行","医院病种分析报告系统化了","https://mp.weixin.qq.com/s/4vP6VrcnDVBbDT-VwB-nfw","2026-03-04"
"恒健知行","医院运营决策之门急诊工作量仪表盘——大模型写代码实现仪表系统开发教程","https://mp.weixin.qq.com/s/dBKh_4jlJW-Fnl0l9SCsaA","2026-03-03"
"恒健知行","医院运营管理之手术分析仪表盘","https://mp.weixin.qq.com/s/w2DQZIisecBsHQZJnX2ACg","2026-03-02"
"恒健知行","数据驱动医院病种精细管理总体思路","https://mp.weixin.qq.com/s/CG3WQrYX7yDDphk5MSDv9g","2026-02-28"
"恒健知行","医院运营管理，以胸外科为例","https://mp.weixin.qq.com/s/32L9cyS6i2ai8dMnGD5QYw","2026-02-27"
"恒健知行","耳鼻喉科DRG运营分析报告","https://mp.weixin.qq.com/s/6pIFE70n5o2Pu9wloHG5ag","2026-02-26"
"恒健知行","医院运营数据分析以甲乳外科为例","https://mp.weixin.qq.com/s/zWquurthq32I_6EfmKZ8-g","2026-02-25"
"恒健知行","医院运营管理之感染科病种费用分析","https://mp.weixin.qq.com/s/-958RKGBZbM2b6W6DIhKZQ","2026-02-24"
"恒健知行","医院运营管理之呼吸科运营数据分析<2>","https://mp.weixin.qq.com/s/Rkvb-XHgl67MzRB-egfiuw","2026-02-23"
"恒健知行","护理管理常见统计图","https://mp.weixin.qq.com/s/OS3f4gs7Jw6TSOwP0IL4Yg","2026-02-22"
"恒健知行","运营管理之DRG病种高费用情况分析，以“晶状体”手术病种为例","https://mp.weixin.qq.com/s/hrWpTVcQGX6hrtKA4wJJcQ","2026-02-21"
"恒健知行","医院运营管理之肝胆外科运营分析","https://mp.weixin.qq.com/s/2HZuchY78lHm8IltTh_Vtw","2026-02-20"
"恒健知行","医院运营管理之产科数据分析","https://mp.weixin.qq.com/s/S0Cms7HlD1FdY33kYMe1PQ","2026-02-19"
"恒健知行","医院运营管理之妇科数据分析","https://mp.weixin.qq.com/s/qq4seL6m6fdXQpia3C422w","2026-02-18"
"恒健知行","打破壁垒：医院诊疗新模式","https://mp.weixin.qq.com/s/SWmLewVPbs0r-Gbpb3xoeA","2026-02-18"
"恒健知行","无纸化医院：告别排队烦恼","https://mp.weixin.qq.com/s/NRsk2LScKuVlpUkvYw76pA","2026-02-17"
"恒健知行","优化患者旅程：一家医院的案例研究","https://mp.weixin.qq.com/s/p6-5yLaInGaalMNQN-bxig","2026-02-16"
"恒健知行","手术平台管理：西安交大模式","https://mp.weixin.qq.com/s/ycPp5hzO1YBLYPc9HcZT3A","2026-02-15"
"恒健知行","一站式智慧服务：实现“零等待”","https://mp.weixin.qq.com/s/_MP8f7Pf3ijfDAjAHUhmFw","2026-02-15"
"恒健知行","公立医院运营管理案例：医院流程优化","https://mp.weixin.qq.com/s/wD0jqLU9iAVCErwd0DbfAA","2026-02-14"
"恒健知行","医院运营管理之肾脏内科DRG数据分析","https://mp.weixin.qq.com/s/552TveHpC2-rZa1YDRSFvQ","2026-02-13"
"恒健知行","肾脏内科DRG数据深度解析","https://mp.weixin.qq.com/s/Ure52WUu2A7coY2nS7G_og","2026-02-13"
"恒健知行","医院运营管理之风湿免疫科DRG数据分析","https://mp.weixin.qq.com/s/Jay4GUf6bZMpGg8AtrIMvw","2026-02-12"
"恒健知行","风湿免疫科DRG数据分析核心发现","https://mp.weixin.qq.com/s/BLkDLR-nDxpJyO7OiAR4JA","2026-02-12"
"恒健知行","医院运营管理之肿瘤科DIP运营分析","https://mp.weixin.qq.com/s/foepRUot32G73ELA9CExPA","2026-02-11"
"恒健知行","医院运营管理之儿科全维度分析","https://mp.weixin.qq.com/s/pcBEpK3CeagWu02w_q-uWw","2026-02-10"
"恒健知行","医院运营管理之新生儿科运营分析","https://mp.weixin.qq.com/s/vO52gMMsRwMxxVozP7WG7A","2026-02-09"
"恒健知行","医院运营管理胸外科运营分析","https://mp.weixin.qq.com/s/Vk-rTOGTCs-Arob8n1CJdg","2026-02-06"
"恒健知行","医院检验科2025年度工作量统计","https://mp.weixin.qq.com/s/zRLf4rzvG_t8sxnJ9bT6oQ","2026-02-05"
"恒健知行","DIP付费改革后医院住院费用结构变化数据可视化分析","https://mp.weixin.qq.com/s/9X9wRHFmzd9r1nWgXQv4Aw","2026-02-04"
"恒健知行","使用claude skills制作影像科月度运营分析报告","https://mp.weixin.qq.com/s/301UNMrCRsaYb5elh03pmw","2026-02-03"
"恒健知行","医院运营管理之医用耗材管理数据分析示例","https://mp.weixin.qq.com/s/a70ABuoQbfQH7VhdN5bDSQ","2026-02-02"
"恒健知行","医院整体DRG精细化运营盈亏分析","https://mp.weixin.qq.com/s/aR3-z0pDNS4HWzCAlCC5hw","2026-01-31"
"恒健知行","从《病案信息统计》到PPT，AI制作PPT的能力超过你了吗？","https://mp.weixin.qq.com/s/u7kgXc2pUkEnHoHw4vEucg","2026-01-30"
"恒健知行","Claude Skills用于医院运管数据分析实践，以制作心血管内科可视化分析为例","https://mp.weixin.qq.com/s/NSgCBQ1__yn3-CBF0gWcMw","2026-01-29"
"恒健知行","某公立医院3.0T磁共振设备效益分析","https://mp.weixin.qq.com/s/aDXpSqfV3rBKgSUf-YfF_A","2026-01-28"
"恒健知行","医院科室运营管理之泌尿外科运营分析","https://mp.weixin.qq.com/s/oCsexcV5bfSxMgY98g55Ag","2026-01-27"
"恒健知行","医院科室运营管理之内分泌科运营分析","https://mp.weixin.qq.com/s/zBcN-OnxZVx3oFbR3jiOcg","2026-01-26"
"恒健知行","北大赋能领军先行：2026年北京大学医院管理领军人才研修班虚位以待","https://mp.weixin.qq.com/s/4jglH7B2kFlkU1Bvy4i51w","2026-01-25"
"恒健知行","医院运营管理之DIP病种运营诊断---以眼科为例","https://mp.weixin.qq.com/s/oC9zDMAnE9PcZQGGIkjH8Q","2026-01-24"
"恒健知行","医院运营管理之单病种精细化运营分析---以肺炎为例","https://mp.weixin.qq.com/s/A44CnU_zivqosH1ewj_A0g","2026-01-23"
"恒健知行","医院科室精细化病种运营管理分析","https://mp.weixin.qq.com/s/CIwJ6eliAeRYkIJlSK6Eqg","2026-01-22"
"恒健知行","普外科住院医疗服务DRG绩效评价深度分析","https://mp.weixin.qq.com/s/JAY4d94K_pmQ98egejpDeg","2026-01-21"
"恒健知行","消化内科专科精细化运营分析","https://mp.weixin.qq.com/s/H6Kz0kQxEM17xcWkxTwbrg","2026-01-20"
"恒健知行","专科病种精细化经营管理分析路径，以胃肠外科为例","https://mp.weixin.qq.com/s/AjOk_HjNgzOi7vHmABIS4Q","2026-01-19"
"恒健知行","2025年度某医院护理不良事件分析报告","https://mp.weixin.qq.com/s/x1pOCxvf1z3VtrFhZrbzqg","2026-01-17"
"恒健知行","医院运营管理呼吸内科DRG绩效分析报告","https://mp.weixin.qq.com/s/ydu_QWIwSlgF9iVffwzSOA","2026-01-16"
"恒健知行","基于病案首页的神经外科住院绩效分析可视化报告","https://mp.weixin.qq.com/s/yam93kx0lye_OvDtBLSFLA","2026-01-15"
"恒健知行","药剂科药品使用数据分析报告","https://mp.weixin.qq.com/s/SG9YYZYgRPM6eFaD3ppNjQ","2026-01-14"
"恒健知行","医院科室精细化管理以骨科绩效分析为例","https://mp.weixin.qq.com/s/lU8rw4qzmoZyMw-_Vql7ag","2026-01-13"
"恒健知行","二级综合医院年度运营分析简报（附件下载）","https://mp.weixin.qq.com/s/4Jdau7LCbgA3F2jXc78FVg","2026-01-12"
"恒健知行","二级综合医院年度运营分析简报——从总体、门诊和住院核心指标概述医院运营情况","https://mp.weixin.qq.com/s/WJR5BHpbT-w2zfxJAz0GrQ","2026-01-12"
"恒健知行","儿童肺炎抗菌药物使用分析报告","https://mp.weixin.qq.com/s/-AgaNPCDRAyS8Nx6j06RlA","2026-01-10"
"恒健知行","2024-2025年不同CMI组的病例数对比的可视化图表样例（堆叠柱形图（百分比）、饼图、南丁格尔图等）","https://mp.weixin.qq.com/s/uGQfNRC8YiC0zV4J5lD7eA","2026-01-09"
"恒健知行","医院不合理处方分析","https://mp.weixin.qq.com/s/fx_18dxV2-58pQQCEr_wLQ","2026-01-08"
"恒健知行","门诊投诉类型表单的三种可视化呈现方式（旭日图、树图和条形图）","https://mp.weixin.qq.com/s/rtYRU_-PfUzs18IDyBddtw","2026-01-07"
"恒健知行","护理质量控制相关指标数据可视化分析样例","https://mp.weixin.qq.com/s/f4sMqO9Gc44WgL6aFLfY1Q","2026-01-06"
"恒健知行","医院护理管理专科护理质量指标可视化分析","https://mp.weixin.qq.com/s/6-YOW9TxyMRysQ-iMlJo5w","2026-01-05"
"恒健知行","护理人力资源分析","https://mp.weixin.qq.com/s/4bIWqHjs2cdkAGCHGvvwzQ","2026-01-04"
"恒健知行","医院门诊服务运营数据分析报告","https://mp.weixin.qq.com/s/i2FaXpioKvjZtoCuECb6iw","2026-01-03"
"恒健知行","医院门诊运营管理之流量监控","https://mp.weixin.qq.com/s/HHTS2X6LghIHu1HdghNN4g","2026-01-02"
"恒健知行","医院年度运营分析报告可视化图表样例","https://mp.weixin.qq.com/s/4nR0nXeTRw7Z8JA4YdUXew","2025-12-31"
"恒健知行","基于公立医院绩效考核指标年度运营分析报告","https://mp.weixin.qq.com/s/yvdGCie_tT_hrmkYRfkFLw","2025-12-30"
"恒健知行","DIP病种组内基于变异系数的同质化分析","https://mp.weixin.qq.com/s/2vJKrHuH2RumfcDxWN-dFg","2025-12-29"
"恒健知行","按病种分值付费（DIP）技术规范的核心概念","https://mp.weixin.qq.com/s/KgtauQtw8CC-jzt-8HRyxA","2025-12-26"
"恒健知行","DRGS背景下重点专病运营数据分析","https://mp.weixin.qq.com/s/W8Y-BvOhvbTExFZsuKuk0A","2025-12-25"
"恒健知行","医院国考费用控制指标分析","https://mp.weixin.qq.com/s/b81ETRBWuJZrSfh-km-gdA","2025-12-24"
"恒健知行","医院收支数据统计分析","https://mp.weixin.qq.com/s/HT8-v3EohckJncTh_w293w","2025-12-23"
"恒健知行","医技科室工作量统计运营分析","https://mp.weixin.qq.com/s/b7OiGCvdCY14vPBrx4qfvQ","2025-12-22"
"恒健知行","基于病案数据进行科室运营探索分析","https://mp.weixin.qq.com/s/ocL8TKBRz1P1-UM95wyi0A","2025-12-19"
"恒健知行","基于病案数据的运营数据分析系统","https://mp.weixin.qq.com/s/E789vVLxfBSfAw6C4WSbqA","2025-12-18"
"恒健知行","基于病案数据的护理资源依赖评估","https://mp.weixin.qq.com/s/DRDnfpwdwr6CWmvh_n2_RQ","2025-12-17"
"恒健知行","基于病案数据的高危患者分布的热力图表达","https://mp.weixin.qq.com/s/LElB1ZrpQDO8Yn2LQYP1eQ","2025-12-16"
"恒健知行","基于病案数据的多元视角统计分析与应用","https://mp.weixin.qq.com/s/SINnF0pXAQHY70ayhNlChg","2025-12-15"
"恒健知行","病案数据对医院运营管理中的价值","https://mp.weixin.qq.com/s/UNqutrk3GBosPCRNfH2d3Q","2025-12-13"
"恒健知行","20251211病种倍率分布情况是病种盈亏的关键因素","https://mp.weixin.qq.com/s/sa7J6SJiTNhtYayAvZaaAg","2025-12-12"
"恒健知行","机器学习算法探索病种盈亏的影响因素——决策树","https://mp.weixin.qq.com/s/bpIzKy-LFEcsy07_huiVTg","2025-12-11"
"恒健知行","利用回归模型探索多因素对病种盈亏的影响","https://mp.weixin.qq.com/s/ptxGWhuMIDCREYv1MxwNTw","2025-12-10"
"恒健知行","医院运营管理之病种盈亏探索分析一 分类变量分析，比较科室、病种、患者特征、住院天数、费用结构的病种盈亏对比","https://mp.weixin.qq.com/s/O_WrapVmVv-hN8chdYLpVw","2025-12-09"
"恒健知行","医院运营管理之病种盈亏探索分析一 相关分析","https://mp.weixin.qq.com/s/J_MeFXI1se8L6jZtYGEcBg","2025-12-08"
"恒健知行","医院运营管理之病种盈亏探索分析一 描述统计","https://mp.weixin.qq.com/s/TTJItklk9JL0zKBZ4NIAxQ","2025-12-06"
"恒健知行","医院运营管理之病种盈亏探索分析—概述","https://mp.weixin.qq.com/s/OO8eRXjV3AQaOoEJ8qH93g","2025-12-06"
"恒健知行","医院运营管理之常见手术指标统计表","https://mp.weixin.qq.com/s/-Gz7skiHArHZ-cU8sguoyw","2025-12-05"
"恒健知行","医院运营管理之住院分析","https://mp.weixin.qq.com/s/lRWP-HTizW9Z9uB7pTdzsg","2025-12-04"
"恒健知行","医院运营管理之急诊运营管理","https://mp.weixin.qq.com/s/ckqK-BqdxuUJseCe3pRd1A","2025-12-03"
"恒健知行","疾病不同治疗方案比较分析","https://mp.weixin.qq.com/s/Ws9DT2GUxamEnPVkUfVYHA","2025-12-02"
"恒健知行","医院运营管理之门诊运营管理","https://mp.weixin.qq.com/s/pwDbC-HuqOd0-gaBsnrt2Q","2025-12-01"
"恒健知行","常见手术时间（堆叠条形图）","https://mp.weixin.qq.com/s/pCq9297_ZkfV6Fy1Rp-2qA","2025-11-29"
"恒健知行","医院管理之手术室使用监控（甘特图）","https://mp.weixin.qq.com/s/9GEZW5FJrVOzNXOnj3LtDQ","2025-11-28"
"恒健知行","医院管理之大设备运营分析","https://mp.weixin.qq.com/s/96WJOkBX1635sLVz34EkaA","2025-11-27"
"恒健知行","医院运营管理--科室运营之手术排班","https://mp.weixin.qq.com/s/-c1jgddbeu_GQyXl57BCXA","2025-11-26"
"恒健知行","基于Deepseek的可视化图例","https://mp.weixin.qq.com/s/A_f1GRUeUet_BmzjKU411w","2025-11-24"
"恒健知行","科室月度门诊量统计表的可视化","https://mp.weixin.qq.com/s/Nx71pp5vSoTzllxCKvaHiA","2025-11-22"
"恒健知行","医院运营管理之预算执行跟踪","https://mp.weixin.qq.com/s/99oEd_y2We0S7VkFiPoPSQ","2025-11-21"
"恒健知行","医院管理手术质量分析","https://mp.weixin.qq.com/s/nUzPR0OfUaBXiaItQHEIDA","2025-11-20"
"恒健知行","医院运营管理之主要手术科室（复合饼图）","https://mp.weixin.qq.com/s/Gm_8zBTmTi7mzbL7PiaTtQ","2025-11-19"
"恒健知行","国考重点指标的监测","https://mp.weixin.qq.com/s/q0umYi7gXIlBJsFfu2zCXw","2025-11-18"
"恒健知行","科室统计表的图形视角","https://mp.weixin.qq.com/s/rHRuK29F_M1n78c8CU2lQg","2025-11-17"
"恒健知行","R Gallery ggplot2折线图图库展示","https://mp.weixin.qq.com/s/vwfQluZb9jJIoMUBqsjGnQ","2025-11-17"
"恒健知行","医院不良事件分布分析","https://mp.weixin.qq.com/s/DqpNg3hR7xR05K2fWCtVOw","2025-11-14"
"恒健知行","门诊管理之费用分析","https://mp.weixin.qq.com/s/910pih7_LyF8xslMWwvo_w","2025-11-13"
"恒健知行","门诊管理之挂号分析","https://mp.weixin.qq.com/s/FCJUshvRyLlmA9U6bDg3sw","2025-11-12"
"恒健知行","R软件ggplot2包作图:柱形图示例","https://mp.weixin.qq.com/s/qTnvip2rvvgQScRO20XpOQ","2025-11-11"
"恒健知行","医院运营管理之入出院患者分析（瀑布图）","https://mp.weixin.qq.com/s/UT2rmiU15wdQysbRNDIvVA","2025-11-10"
"恒健知行","R软件ggplot2包作图:散点图数据分析示例","https://mp.weixin.qq.com/s/Kunq_5zRvwzNsq4BtTW2NQ","2025-11-09"
"恒健知行","R软件ggplot2包作图:气泡图","https://mp.weixin.qq.com/s/DZGWlEm1OiHejgq2i4HWxA","2025-11-08"
"恒健知行","医院运营管理之床位效率分析（波士顿矩阵图）","https://mp.weixin.qq.com/s/H1VYxiiR8h9LtSBjX2LhRA","2025-11-07"
"恒健知行","医院运营管理之科室视角的排名问题（条形图）","https://mp.weixin.qq.com/s/riYe091WZUrRUWAPmdhwsg","2025-11-06"
"恒健知行","医院运营管理手术盈亏分析（矩阵气泡图改进表达）","https://mp.weixin.qq.com/s/Ha9DRMVpayZPjUWZ9y6vfA","2025-11-05"
"恒健知行","R软件ggplot2包作图:4.散点图模拟趋势","https://mp.weixin.qq.com/s/2IHE4RnWhl37r3SpVOnlrA","2025-11-04"
"恒健知行","医院运营管理之基于数据的相似科室分析（聚类图）","https://mp.weixin.qq.com/s/scfdkhklWzJZAdWJPM_htQ","2025-11-03"
"恒健知行","R软件ggplot2包作图:3.绘制散点图调整图例、配色、尺寸、坐标轴、主题","https://mp.weixin.qq.com/s/vuvpuuGjhTegod60Bc8yrw","2025-11-03"
"恒健知行","R软件ggplot2包作图:2.绘制散点图","https://mp.weixin.qq.com/s/krycLQUqWQYvzVf2TmuKQQ","2025-11-02"
"恒健知行","R软件ggplot2包作图:1.官网手册","https://mp.weixin.qq.com/s/iuptnqT2IWykDU_jUekItA","2025-11-02"
"恒健知行","医院运营管理之患者住院空间布局（热力图、桑基图）","https://mp.weixin.qq.com/s/qwAJG-aFn1xFTzFw0t86Ww","2025-10-31"
"恒健知行","医院运营管理之期初期末比较（斜坡图）","https://mp.weixin.qq.com/s/zXWSb6ztwRs7ujHPgwHt2Q","2025-10-30"
"恒健知行","医院运营管理工具-基于R的统计计算","https://mp.weixin.qq.com/s/TVYlWnjZkVGwdydJJNH5dA","2025-10-29"
"恒健知行","医院运营管理工具--R数据分析","https://mp.weixin.qq.com/s/hTNW1x4SYKsodS7fi3sw9A","2025-10-28"
"恒健知行","医院运营管理工具--R数据分析","https://mp.weixin.qq.com/s/qrs__vqwrx6iw-ukPXKEhg","2025-10-28"
"恒健知行","医院运营病种视角的多维度分析（驾驶舱仪表盘)","https://mp.weixin.qq.com/s/nx4sq-C7F1XiVksCE4i8xA","2025-10-27"
"恒健知行","Part1-医院运营管理之工具篇《R、Rstudio和Deepseek》","https://mp.weixin.qq.com/s/ALrjL_JA0zuVdxIbeshZRA","2025-10-26"
"恒健知行","医院运营管理病种与科室关联展示（组合图）","https://mp.weixin.qq.com/s/op8bR7O5XhN77T_zE74LlQ","2025-10-24"
"恒健知行","医院运营病种盈亏分析","https://mp.weixin.qq.com/s/QzWVBjbKnpa2WY2C0rSc5g","2025-10-23"
"恒健知行","医院运营疾病谱分析","https://mp.weixin.qq.com/s/tqLjMQNw71J3junAx9tSSA","2025-10-22"
"恒健知行","病种分布可视化（旭日图）","https://mp.weixin.qq.com/s/50owWxwDNGwdwibGJnA1Bw","2025-10-21"
"恒健知行","某医院DIP病种分析简报","https://mp.weixin.qq.com/s/yj0-1nwgbShfze1zG8t_qQ","2025-10-20"
"恒健知行","病种费用分布可视化（云雨图）","https://mp.weixin.qq.com/s/b4Ia5D3RWto0AvDxb6HzSQ","2025-10-19"
"恒健知行","住院患者费用极高病例影响因素图示（森林图）","https://mp.weixin.qq.com/s/NkCv63NX1Sk2emXVRMM3kQ","2025-10-17"
"恒健知行","一键制作医院运营分析报告","https://mp.weixin.qq.com/s/DuB9TuNLTAYL3TJ6-qgQ0Q","2025-10-16"
"恒健知行","医院运营分析科室病种比较（森林图）","https://mp.weixin.qq.com/s/aSxOgHrhXmR_05S2qUwyag","2025-10-15"
"恒健知行","用“数学”进行绩效奖金推算","https://mp.weixin.qq.com/s/CoHP5oQxem7AIuZULlQYxw","2025-10-14"
"恒健知行","科室运营分析之病种动态分析（动态条形图）","https://mp.weixin.qq.com/s/kzyVZ2LR9CgVyELsr0292g","2025-10-13"
"恒健知行","医院运营分析之病种费用分组比较（小提琴图）","https://mp.weixin.qq.com/s/hDyZ9yteJkTm-JAjNsInug","2025-10-11"
"恒健知行","病种运营分析之优势科室展示（三维气泡图）","https://mp.weixin.qq.com/s/Cz2QtmOJVlCklL3kvj1OPg","2025-10-10"
"恒健知行","科室运营分析之优势病种挖掘（矩阵树图）","https://mp.weixin.qq.com/s/TOSpQeI_wp_IloZiCcCcrg","2025-10-09"
"恒健知行","医疗质量管理主要因素分析（帕累托图）","https://mp.weixin.qq.com/s/u72sgI5rTCV4zp-tLGsoYg","2025-10-07"
"恒健知行","医院运营管理之差距分析（进度图）","https://mp.weixin.qq.com/s/yzZMXavQ08z69uxBlg4DOw","2025-10-06"
"恒健知行","医院运营管理之分组比较（堆叠条形图）","https://mp.weixin.qq.com/s/pc2Rjk_RnvgBZuJCPEbl9g","2025-10-05"
"恒健知行","医院运营管理之分组比较（金字塔图）","https://mp.weixin.qq.com/s/_nSuJ_47T8plT4EWEmFwjw","2025-10-04"
"恒健知行","集团医院月度运营分析报告模版","https://mp.weixin.qq.com/s/pUqS9bp_LWWSdCURolDiPA","2025-10-02"
"恒健知行","数据驱动质量指标质控方法（控制图）","https://mp.weixin.qq.com/s/OhkNWo3oWjaUpcEj43iilw","2025-10-01"
